Order date,Continued date,ITC case No.,DOC case No.,AD/CVD,Review Sequence Group No.,Product Group,Product,Country,Column2,Column3,Fed Reg,Pub date,Link,Column1,Column12
05/21/2019,,C-602,C-570-083,C,254,TR,Steel Wheels,China,,,84 FR 24098,2019/05/24,https://www.govinfo.gov/content/pkg/FR-2019-05-24/pdf/2019-11015.pdf,,
05/28/2019,,C-601,C-552-824,C,276,TX,Laminated Woven Sacks,Vietnam,,,84 FR 25753,2019/05/28,https://www.govinfo.gov/content/pkg/FR-2019-06-04/pdf/2019-11579.pdf,,
05/28/2019,,A-1411,A-552-823,A,276,TX,Laminated Woven Sacks,Vietnam,,,84 FR 25753,2019/06/04,https://www.govinfo.gov/content/pkg/FR-2019-06-04/pdf/2019-11579.pdf,,
06/18/2019,,C-603,C–570–081,C,256,CH,Glycine,China ,,,84 FR 29173,2019/06/21,https://www.govinfo.gov/content/pkg/FR-2019-06-21/pdf/2019-13361.pdf,,
06/18/2019,,C-604,C–533–884,C,256,CH,Glycine,India ,,,84 FR 29173,2019/06/18,https://www.govinfo.gov/content/pkg/FR-2019-06-21/pdf/2019-13361.pdf,,
06/18/2019,,A–1414,A–533–883,A,256,CH,Glycine,India ,,,84 FR 29170,2019/06/21,https://www.govinfo.gov/content/pkg/FR-2019-06-21/pdf/2019-13362.pdf,,
06/18/2019,,A-1415,A–588–878,A,256,CH,Glycine,Japan,,,84 FR 29170,2019/06/21,https://www.govinfo.gov/content/pkg/FR-2019-06-21/pdf/2019-13362.pdf,,
07/08/2019,,A-1416,A–570–084,A,257,PRSGC,Quartz,China,,,84 FR 33053 ,07/11/2019,https://www.govinfo.gov/content/pkg/FR-2019-07-11/pdf/2019-14865.pdf,,
07/08/2019,,C-606,C–570–085,C,257,PRSGC,Quartz ,China,,,84 FR 33053 ,07/08/2019,https://www.govinfo.gov/content/pkg/FR-2019-07-11/pdf/2019-14865.pdf,,
08/07/2019,,A-1441,A-570-086,A,258,ISO,Steel Propane Cylinders,China,,,84 FR 41703 ,2019/08/15,https://www.govinfo.gov/content/pkg/FR-2019-08-15/pdf/2019-17312.pdf,,
08/07/2019,,C-607,C-570-087,C,260,ISO,Steel Propane Cylinders,China,,,84 FR 41700 ,08/15/2019,https://www.govinfo.gov/content/pkg/FR-2019-08-15/pdf/2019-17313.pdf,,
08/07/2019,,A-1444,A-549-839,A,260,ISO,Steel Propane Cylinders,Thailand ,,,84 FR 41703 ,2019/08/15,https://www.govinfo.gov/content/pkg/FR-2019-08-15/pdf/2019-17312.pdf,,
08/23/2019,,A-1421,A-570-090,A,262,TR,Steel Trailer Wheels,China,,,84 FR 45952,2019/09/03,https://www.govinfo.gov/content/pkg/FR-2019-09-03/pdf/2019-18937.pdf,,
08/23/2019,,C-609,C-570-091,C,262,TR,Steel Trailer Wheels,China,,,84 FR 45952,2019/09/03,https://www.govinfo.gov/content/pkg/FR-2019-09-03/pdf/2019-18937.pdf,,
09/11/2019,,A-1420,A-570-088,A,263,ISO,Steel Racks,China,,,84 FR 48584,2019/09/16,https://www.govinfo.gov/content/pkg/FR-2019-09-16/pdf/2019-19949.pdf,,
09/11/2019,,C-608,C–570–089,C,263,MSC,Steel Racks,China,,,84 FR 48584,2019/09/16,https://www.govinfo.gov/content/pkg/FR-2019-09-16/pdf/2019-19949.pdf,,
10/04/2019,,A-1427,A–201–849,A,268,ISO,Refillable Stainless Steel Kegs,Mexico,,,84 FR 54591 ,          10/0/2019,https://www.govinfo.gov/content/pkg/FR-2019-10-10/pdf/2019-22279.pdf,,
10/10/2019,,A-1415,A-549-837,A,256,CH,Glycine,Thailand ,,,84 FR 55912,2019/10/18,https://www.govinfo.gov/content/pkg/FR-2019-10-18/pdf/2019-22764.pdf,,
11/21/2019,,A-1422,A-433-813 ,A,265,CH,Strontium Chromate,Austria,,,84 FR 65349 ,2019/11/27,https://www.govinfo.gov/content/pkg/FR-2019-11-27/pdf/2019-25776.pdf,,
11/22/2019,,A-1423,A-427-830,A,265,CH,Strontium Chromate,France,,,84 FR 65349 ,2019/11/27,https://www.govinfo.gov/content/pkg/FR-2019-11-27/pdf/2019-25776.pdf,,
12/05/2019,,A1449,A-570-110,A,267,MSC,Vertical Metal File Cabinets,China ,,,"84 FR 68121
",12/13/2019,https://www.govinfo.gov/content/pkg/FR-2019-12-13/pdf/2019-27028.pdf,,
