Order date,Continued date,ITC case No.,DOC case No.,AD/CVD,Review Sequence Group No.,Product Group,Product,Country,Column2,Column3,Fed Reg,Pub date,Link,Column1,Column12
12/17/1986,08/23/2016,A-308,A-351-602,A,37,ISO,Carbon steel butt-weld pipe fittings,Brazil,,,81 FR 57562,2016/08/23,https://www.gpo.gov/fdsys/pkg/FR-2016-08-23/pdf/2016-20174.pdf,,
12/17/1986,08/23/2016,A-310,A-583-605,A,37,ISO,Carbon steel butt-weld pipe fittings,Taiwan,,,81 FR 57562,2016/08/23,https://www.gpo.gov/fdsys/pkg/FR-2016-08-23/pdf/2016-20174.pdf,,
02/10/1987,08/23/2016,A-309,A-588-602,A,37,ISO,Carbon steel butt-weld pipe fittings,Japan,,,81 FR 57562,2016/08/23,https://www.gpo.gov/fdsys/pkg/FR-2016-08-23/pdf/2016-20174.pdf,,
03/06/1987,10/31/2017,A-313,A-427-602,A,51,MM,Brass sheet & strip,France,,,82 FR 50396,2017/10/31,https://www.gpo.gov/fdsys/pkg/FR-2017-10-31/pdf/2017-23642.pdf,,
03/06/1987,10/31/2017,A-314,A-475-601,A,51,MM,Brass sheet & strip,Italy,,,82 FR 50396,2017/10/31,https://www.gpo.gov/fdsys/pkg/FR-2017-10-31/pdf/2017-23642.pdf,,
03/06/1987,10/31/2017,A-317,A-428-806,A,51,MM,Brass sheet & strip,Germany,,,82 FR 50396,2017/10/31,https://www.gpo.gov/fdsys/pkg/FR-2017-10-31/pdf/2017-23642.pdf,,
06/15/1987,10/17/2018,A-344,A-570-601,A,61,ME,Tapered roller bearings,China,,,83 FR 52384,2018/10/17,https://www.gpo.gov/fdsys/pkg/FR-2018-10-17/pdf/2018-22579.pdf,,
08/12/1988,10/31/2017,A-379,A-588-704,A,51,MM,Brass sheet & strip,Japan,,,82 FR 50396,2017/10/31,https://www.gpo.gov/fdsys/pkg/FR-2017-10-31/pdf/2017-23642.pdf,,
03/27/1989,08/09/2017,A-410,A-583-803,A,72,ISP,Light-walled rectangular tube,Taiwan,,,82 FR 37193,2017/08/09,https://www.gpo.gov/fdsys/pkg/FR-2017-08-09/pdf/2017-16772.pdf,,
02/19/1991,01/06/2017,A-457-A,A-570-803,A,67,MSC,Heavy forged hand tools-Axes & adzes,China,,,82 FR 1695,2017/01/06,https://www.gpo.gov/fdsys/pkg/FR-2017-01-06/pdf/2017-00030.pdf,,
02/19/1991,01/06/2017,A-457-B,A-570-803,A,67,MSC,Heavy forged hand tools-Bars & wedges,China,,,82 FR 1695,2017/01/06,https://www.gpo.gov/fdsys/pkg/FR-2017-01-06/pdf/2017-00030.pdf,,
02/19/1991,01/06/2017,A-457-C,A-570-803,A,67,MSC,Heavy forged hand tools-Hammers & sledges,China,,,82 FR 1695,2017/01/06,https://www.gpo.gov/fdsys/pkg/FR-2017-01-06/pdf/2017-00030.pdf,,
02/19/1991,01/06/2017,A-457-D,A-570-803,A,67,MSC,Heavy forged hand tools-Picks & mattocks,China,,,82 FR 1695,2017/01/06,https://www.gpo.gov/fdsys/pkg/FR-2017-01-06/pdf/2017-00030.pdf,,
05/10/1991,07/17/2017,A-461,A-588-815,A,78,PRSGC,Gray portland cement & clinker,Japan,,,82 FR 32682,2017/07/17,https://www.gpo.gov/fdsys/pkg/FR-2017-07-17/pdf/2017-14955.pdf,,
06/10/1991,06/04/2018,A-472,A-570-806,A,80,CH,Silicon metal,China,,,83 FR 25644,2018/06/04,https://www.gpo.gov/fdsys/pkg/FR-2018-06-04/pdf/2018-11904.pdf,,
07/06/1992,08/23/2016,A-520,A-570-814,A,37,ISO,Carbon steel butt-weld pipe fittings,China,,,81 FR 57562,2016/08/23,https://www.gpo.gov/fdsys/pkg/FR-2016-08-23/pdf/2016-20174.pdf,,
07/06/1992,08/23/2016,A-521,A-549-807,A,37,ISO,Carbon steel butt-weld pipe fittings,Thailand,,,81 FR 57562,2016/08/23,https://www.gpo.gov/fdsys/pkg/FR-2016-08-23/pdf/2016-20174.pdf,,
08/19/1992,05/09/2017,A-538,A-570-815,A,55,CH,Sulfanilic acid,China,,,82 FR 21520,2017/05/09,https://www.gpo.gov/fdsys/pkg/FR-2017-05-09/pdf/2017-09302.pdf,,
10/16/1992,10/02/2017,A-539-C,A-821-802,A,73,EN,Uranium (Suspended),Russia,,,82 FR 45810,2017/10/02,https://www.gpo.gov/fdsys/pkg/FR-2017-10-02/pdf/2017-21211.pdf,,
11/02/1992,02/07/2018,A-532,A-351-809,A,72,ISP,Circular welded nonalloy steel pipe,Brazil,,,83 FR 5402,2018/02/07,https://www.gpo.gov/fdsys/pkg/FR-2018-02-07/pdf/2018-02316.pdf,,
11/02/1992,02/07/2018,A-533,A-580-809,A,72,ISP,Circular welded nonalloy steel pipe,Korea,,,83 FR 5402,2018/02/07,https://www.gpo.gov/fdsys/pkg/FR-2018-02-07/pdf/2018-02316.pdf,,
11/02/1992,02/07/2018,A-534,A-201-805,A,72,ISP,Circular welded nonalloy steel pipe,Mexico,,,83 FR 5402,2018/02/07,https://www.gpo.gov/fdsys/pkg/FR-2018-02-07/pdf/2018-02316.pdf,,
11/02/1992,02/07/2018,A-536,A-583-814,A,72,ISP,Circular welded nonalloy steel pipe,Taiwan,,,83 FR 5402,2018/02/07,https://www.gpo.gov/fdsys/pkg/FR-2018-02-07/pdf/2018-02316.pdf,,
12/30/1992,06/30/2017,A-540,A-580-810,A,76,ISP,Welded ASTM A-312 stainless steel pipe,Korea,,,82 FR 29827,2017/06/30,https://www.gpo.gov/fdsys/pkg/FR-2017-06-30/pdf/2017-13988.pdf,,
12/30/1992,06/30/2017,A-541,A-583-815,A,76,ISP,Welded ASTM A-312 stainless steel pipe,Taiwan,,,82 FR 29827,2017/06/30,https://www.gpo.gov/fdsys/pkg/FR-2017-06-30/pdf/2017-13988.pdf,,
03/02/1993,05/09/2017,A-561,A-533-806,A,55,CH,Sulfanilic acid,India,,,82 FR 21520,2017/05/09,https://www.gpo.gov/fdsys/pkg/FR-2017-05-09/pdf/2017-09302.pdf,,
03/02/1993,05/09/2017,C-318,C-533-807,C,55,CH,Sulfanilic acid,India,,,82 FR 21520,2017/05/09,https://www.gpo.gov/fdsys/pkg/FR-2017-05-09/pdf/2017-09302.pdf,,
06/28/1993,05/26/2017,A-625,A-583-820,A,81,ISO,Helical spring lock washers,Taiwan,,,82 FR 24301,2017/05/26,https://www.gpo.gov/fdsys/pkg/FR-2017-05-26/pdf/2017-10871.pdf,,
10/19/1993,05/26/2017,A-624,A-570-822,A,81,ISO,Helical spring lock washers,China,,,82 FR 24301,2017/05/26,https://www.gpo.gov/fdsys/pkg/FR-2017-05-26/pdf/2017-10871.pdf,,
12/01/1993,01/23/2012,A-638,A-533-808,A,65,ISM,Stainless steel wire rod,India,,,77 FR 3231,2012/01/23,,,
11/16/1994,11/06/2017,A-683,A-570-831,A,83,AG,Fresh garlic,China,,,82 FR 51394,2017/11/06,https://www.gpo.gov/fdsys/pkg/FR-2017-11-06/pdf/2017-24071.pdf,,
11/25/1994,10/30/2017,A-663,A-570-826,A,69,MSC,Paper clips,China,,,82 FR 50120,2017/10/30,https://www.gpo.gov/fdsys/pkg/FR-2017-10-30/pdf/2017-23537.pdf,,
12/22/1994,12/12/2018,A-672,A-570-828,A,80,MM,Silicomanganese,China,,,83 FR 63830,2018/12/12,https://www.gpo.gov/fdsys/pkg/FR-2018-12-12/pdf/2018-26869.pdf,,
12/28/1994,09/01/2017,A-669,A-570-827,A,66,MSC,Cased pencils,China,,,82 FR 41608,2017/09/01,https://www.gpo.gov/fdsys/pkg/FR-2017-09-01/pdf/2017-18588.pdf,,
02/21/1995,08/09/2017,A-679,A-533-810,A,85,ISM,Stainless steel bar,India,,,83 FR 49910,2012/08/09,https://www.gpo.gov/fdsys/pkg/FR-2018-10-03/pdf/2018-21536.pdf,,
03/29/1995,02/15/2017,A-718,A-570-836,A,64,CH,Glycine,China,,,82 FR 10745,2017/02/15,https://www.gpo.gov/fdsys/pkg/FR-2017-02-15/pdf/2017-03048.pdf,,
05/12/1995,04/17/2017,A-696,A-570-832,A,77,MM,Pure magnesium (ingot),China,,,82 FR 18114,2014/04/17,https://www.gpo.gov/fdsys/pkg/FR-2017-04-17/pdf/2017-07698.pdf,,
06/21/1995,08/09/2017,A-703,A-570-835,A,86,CH,Furfuryl alcohol,China,,,82 FR 37194,2017/08/09,https://www.gpo.gov/fdsys/pkg/FR-2017-08-09/pdf/2017-16769.pdf,,
08/03/1995,02/28/2018,A-709,A-428-820,A,90,ISP,Seamless pipe (small diameter),Germany,,,83 FR 8651,2018/02/28,https://www.gpo.gov/fdsys/pkg/FR-2018-02-28/pdf/2018-04172.pdf,,
07/02/1996,12/18/2018,A-739,A-588-838,A,96,ISM,Clad steel plate,Japan,,,83 FR 64811,2018/12/18,https://www.govinfo.gov/content/pkg/FR-2018-12-18/pdf/2018-27332.pdf,,
07/24/1996,04/17/2019,A-734,A-475-818,A,97,AG,Pasta,Italy,,,84 FR 16002,2019/04/17,https://www.govinfo.gov/content/pkg/FR-2019-04-17/pdf/2019-07807.pdf,,
07/24/1996,04/17/2019,A-735,A-489-805,A,97,AG,Pasta,Turkey,,,84 FR 16002,2019/04/17,https://www.govinfo.gov/content/pkg/FR-2019-04-17/pdf/2019-07807.pdf,,
07/24/1996,04/17/2019,C-365,C-475-819,C,97,AG,Pasta,Italy,,,84 FR 16002,2019/04/17,https://www.govinfo.gov/content/pkg/FR-2019-04-17/pdf/2019-07807.pdf,,
07/24/1996,04/17/2019,C-366,C-489-806,C,97,AG,Pasta,Turkey,,,84 FR 16002,2019/04/17,https://www.govinfo.gov/content/pkg/FR-2019-04-17/pdf/2019-07807.pdf,,
11/01/1996,12/16/2002,A-747,A-201-820,A,1,AG,Fresh tomatoes (Suspended),Mexico,,,78 FR 14967,2013/03/08,,,
07/07/1997,03/28/2014,A-749,A-570-847,A,5,CH,Persulfates,China,,,84 FR 45123,2019/08/28,https://www.govinfo.gov/content/pkg/FR-2019-08-28/pdf/2019-18558.pdf,,
10/24/1997,12/12/2015,A-753,A-570-849,A,7,ISM,Carbon steel plate ,China,,,80 FR 79306,2015/12/21,https://www.gpo.gov/fdsys/pkg/FR-2015-12-21/pdf/2015-32022.pdf,,
10/24/1997,12/12/2015,A-754,A-821-808,A,7,ISM,Carbon steel plate (Suspended),Russia,,,80 FR 79306,2015/12/21,https://www.gpo.gov/fdsys/pkg/FR-2015-12-21/pdf/2015-32022.pdf,,
10/24/1997,12/12/2015,A-756,A-823-808,A,7,ISM,Carbon steel plate (Suspended),Ukraine,,,80 FR 79306,2015/12/21,https://www.gpo.gov/fdsys/pkg/FR-2015-12-21/pdf/2015-32022.pdf,,
09/15/1998,08/15/2016,A-771,A-588-843,A,10,ISM,Stainless steel wire rod,Japan,,,81 FR 54043,2016/08/15,https://www.gpo.gov/fdsys/pkg/FR-2016-08-15/pdf/2016-19256.pdf,,
09/15/1998,08/15/2016,A-772,A-580-829,A,10,ISM,Stainless steel wire rod,Korea,,,81 FR 54043,2016/08/15,https://www.gpo.gov/fdsys/pkg/FR-2016-08-15/pdf/2016-19256.pdf,,
09/15/1998,08/15/2016,A-775,A-583-828,A,10,ISM,Stainless steel wire rod,Taiwan,,,81 FR 54043,2016/08/15,https://www.gpo.gov/fdsys/pkg/FR-2016-08-15/pdf/2016-19256.pdf,,
12/02/1998,09/02/2015,A-776,A-337-804,A,11,AG,Preserved mushrooms,Chile,,,80 FR 53104,2015/09/02,http://www.gpo.gov/fdsys/pkg/FR-2015-09-02/pdf/2015-21771.pdf,,
02/19/1999,09/02/2015,A-777,A-570-851,A,11,AG,Preserved mushrooms,China,,,80 FR 53104,2015/09/02,http://www.gpo.gov/fdsys/pkg/FR-2015-09-02/pdf/2015-21771.pdf,,
02/19/1999,09/02/2015,A-778,A-533-813,A,11,AG,Preserved mushrooms,India,,,80 FR 53104,2015/09/02,http://www.gpo.gov/fdsys/pkg/FR-2015-09-02/pdf/2015-21771.pdf,,
02/19/1999,09/02/2015,A-779,A-560-802,A,11,AG,Preserved mushrooms,Indonesia,,,80 FR 53104,2015/09/02,http://www.gpo.gov/fdsys/pkg/FR-2015-09-02/pdf/2015-21771.pdf,,
05/11/1999,01/09/2017,C-379,C-791-806,C,18,ISM,Stainless steel plate in coils,South Africa,,,82 FR 2322,2017/01/09,https://www.gpo.gov/fdsys/pkg/FR-2017-01-09/pdf/2017-00140.pdf,,
05/21/1999,01/09/2017,A-788,A-423-808,A,18,ISM,Stainless steel plate in coils,Belgium,,,82 FR 2322,2017/01/09,https://www.gpo.gov/fdsys/pkg/FR-2017-01-09/pdf/2017-00140.pdf,,
05/21/1999,01/09/2017,A-792,A-791-805,A,18,ISM,Stainless steel plate in coils,South Africa,,,82 FR 2322,2017/01/09,https://www.gpo.gov/fdsys/pkg/FR-2017-01-09/pdf/2017-00140.pdf,,
05/21/1999,01/09/2017,A-793,A-583-830,A,18,ISM,Stainless steel plate in coils,Taiwan,,,82 FR 2322,2017/01/09,https://www.gpo.gov/fdsys/pkg/FR-2017-01-09/pdf/2017-00140.pdf,,
07/12/1999,10/20/2016,A-808,A-821-809,A,24,ISM,Hot-rolled carbon steel flat products,Russia,,,81 FR 72569,2016/10/20,https://www.gpo.gov/fdsys/pkg/FR-2016-10-20/pdf/2016-25431.pdf,,
07/27/1999,10/03/2017,A-800,A-588-845,A,25,ISM,Stainless steel sheet & strip,Japan,,,82 FR 46036,2017/10/03,https://www.gpo.gov/fdsys/pkg/FR-2017-10-03/pdf/2017-21210.pdf,,
07/27/1999,10/03/2017,A-801,A-580-834,A,25,ISM,Stainless steel sheet & strip,Korea,,,82 FR 46036,2017/10/03,https://www.gpo.gov/fdsys/pkg/FR-2017-10-03/pdf/2017-21210.pdf,,
07/27/1999,10/03/2017,A-803,A-583-831,A,25,ISM,Stainless steel sheet & strip,Taiwan,,,82 FR 46036,2017/10/03,https://www.gpo.gov/fdsys/pkg/FR-2017-10-03/pdf/2017-21210.pdf,,
08/06/1999,10/03/2017,C-382,C-580-835,C,25,ISM,Stainless steel sheet & strip,Korea,,,82 FR 46036,2017/10/03,https://www.gpo.gov/fdsys/pkg/FR-2017-10-03/pdf/2017-21210.pdf,,
02/10/2000,03/12/2018,A-817,A-533-817,A,40,ISM,Carbon steel plate,India,,,83 FR 10672,2018/03/12,https://www.gpo.gov/fdsys/pkg/FR-2018-03-12/pdf/2018-04846.pdf,,
02/10/2000,03/12/2018,A-818,A-560-805,A,40,ISM,Carbon steel plate,Indonesia,,,83 FR 10672,2018/03/12,https://www.gpo.gov/fdsys/pkg/FR-2018-03-12/pdf/2018-04846.pdf,,
02/10/2000,03/12/2018,A-821,A-580-836,A,40,ISM,Carbon steel plate,Korea,,,83 FR 10672,2018/03/12,https://www.gpo.gov/fdsys/pkg/FR-2018-03-12/pdf/2018-04846.pdf,,
02/10/2000,03/12/2018,C-388,C-533-818,C,40,ISM,Carbon steel plate,India,,,83 FR 10672,2018/03/12,https://www.gpo.gov/fdsys/pkg/FR-2018-03-12/pdf/2018-04846.pdf,,
02/10/2000,03/12/2018,C-389,C-560-806,C,40,ISM,Carbon steel plate,Indonesia,,,83 FR 10672,2018/03/12,https://www.gpo.gov/fdsys/pkg/FR-2018-03-12/pdf/2018-04846.pdf,,
02/10/2000,03/12/2018,C-391,C-580-837,C,40,ISM,Carbon steel plate,Korea,,,83 FR 10672,2018/03/12,https://www.gpo.gov/fdsys/pkg/FR-2018-03-12/pdf/2018-04846.pdf,,
05/25/2000,02/10/2017,A-825,A-580-839,A,53,TX,Polyester staple fiber,Korea,,,82 FR 10330,2011/02/10,https://www.gpo.gov/fdsys/pkg/FR-2017-02-10/pdf/2017-02790.pdf,,
05/25/2000,02/10/2017,A-826,A-583-833,A,53,TX,Polyester staple fiber,Taiwan,,,82 FR 10330,2011/02/10,https://www.gpo.gov/fdsys/pkg/FR-2017-02-10/pdf/2017-02790.pdf,,
06/26/2000,11/13/2017,A-847-A,A-588-850,A,60,ISP,Large diameter seamless pipe,Japan,,,82 FR 52275,2017/11/13,https://www.gpo.gov/fdsys/pkg/FR-2017-11-13/pdf/2017-24515.pdf,,
06/26/2000,11/13/2017,A-847-B,A-588-851,A,60,ISP,Small diameter seamless pipe,Japan,,,82 FR 52275,2017/11/13,https://www.gpo.gov/fdsys/pkg/FR-2017-11-13/pdf/2017-24515.pdf,,
08/10/2000,11/13/2017,A-849,A-485-805,A,60,ISP,Small diameter seamless pipe,Romania,,,82 FR 52275,2017/11/13,https://www.gpo.gov/fdsys/pkg/FR-2017-11-13/pdf/2017-24515.pdf,,
08/28/2000,07/11/2018,A-860,A-588-854,A,74,ISM,Tin mill products,Japan,,,83 FR 32074,2018/07/11,https://www.gpo.gov/fdsys/pkg/FR-2018-07-11/pdf/2018-14826.pdf,,
02/23/2001,12/29/2017,A-865,A-475-828,A,82,ISO,Stainless steel butt-weld pipe fittings,Italy,,,82 FR 61751,2017/12/29,https://www.gpo.gov/fdsys/pkg/FR-2017-12-29/pdf/2017-28196.pdf,,
02/23/2001,12/29/2017,A-866,A-557-809,A,82,ISO,Stainless steel butt-weld pipe fittings,Malaysia,,,82 FR 61751,2017/12/29,https://www.gpo.gov/fdsys/pkg/FR-2017-12-29/pdf/2017-28196.pdf,,
02/23/2001,12/29/2017,A-867,A-565-801,A,82,ISO,Stainless steel butt-weld pipe fittings,Philippines,,,82 FR 61751,2017/12/29,https://www.gpo.gov/fdsys/pkg/FR-2017-12-29/pdf/2017-28196.pdf,,
09/07/2001,12/17/2018,A-873,A-822-804,A,92,ISM,Steel concrete reinforcing bar,Belarus,,,83 FR 64530,2018/12/17,https://www.govinfo.gov/content/pkg/FR-2018-12-17/pdf/2018-27239.pdf,,
09/07/2001,12/17/2018,A-874,A-570-860,A,92,ISM,Steel concrete reinforcing bar,China,,,83 FR 64530,2018/12/17,https://www.govinfo.gov/content/pkg/FR-2018-12-17/pdf/2018-27239.pdf,,
09/07/2001,12/17/2018,A-875,A-560-811,A,92,ISM,Steel concrete reinforcing bar,Indonesia,,,83 FR 64530,2018/12/17,https://www.govinfo.gov/content/pkg/FR-2018-12-17/pdf/2018-27239.pdf,,
09/07/2001,12/17/2018,A-878,A-449-804,A,92,ISM,Steel concrete reinforcing bar,Latvia,,,83 FR 64530,2018/12/17,https://www.govinfo.gov/content/pkg/FR-2018-12-17/pdf/2018-27239.pdf,,
09/07/2001,12/17/2018,A-879,A-841-804,A,92,ISM,Steel concrete reinforcing bar,Moldova,,,83 FR 64530,2018/12/17,https://www.govinfo.gov/content/pkg/FR-2018-12-17/pdf/2018-27239.pdf,,
09/07/2001,12/17/2018,A-880,A-455-803,A,92,ISM,Steel concrete reinforcing bar,Poland,,,83 FR 64530,2018/12/17,https://www.govinfo.gov/content/pkg/FR-2018-12-17/pdf/2018-27239.pdf,,
09/07/2001,12/17/2018,A-882,A-823-809,A,92,ISM,Steel concrete reinforcing bar,Ukraine,,,83 FR 64530,2018/12/17,https://www.govinfo.gov/content/pkg/FR-2018-12-17/pdf/2018-27239.pdf,,
09/17/2001,11/08/2012,A-673,A-823-805,A,80,MM,Silicomanganese,Ukraine ,,,77 FR 34012,2012/06/08,,,
09/17/2001,05/11/2018,A-891,A-570-862,A,95,EN,Foundry coke,China,,,83 FR 22007,2018/05/11,https://www.gpo.gov/fdsys/pkg/FR-2018-05-11/pdf/2018-10068.pdf,,
11/19/2001,03/12/2018,A-895,A-570-864,A,98,MM,Pure magnesium (granular),China,,,83 FR 10676,2018/03/12,https://www.gpo.gov/fdsys/pkg/FR-2018-03-12/pdf/2018-05023.pdf,,
11/29/2001,02/07/2014,A-899,A-570-865,A,93,ISM,Hot-rolled carbon steel flat products,China,,,79 FR 7425,2014/02/04,http://www.gpo.gov/fdsys/pkg/FR-2014-02-07/pdf/2014-02696.pdf,,
11/29/2001,02/07/2014,A-906,A-583-835,A,93,ISM,Hot-rolled carbon steel flat products,Taiwan,,,79 FR 7425,2014/02/04,http://www.gpo.gov/fdsys/pkg/FR-2014-02-07/pdf/2014-02696.pdf,,
11/29/2001,02/07/2014,A-907,A-549-817,A,93,ISM,Hot-rolled carbon steel flat products,Thailand,,,79 FR 7425,2014/02/04,http://www.gpo.gov/fdsys/pkg/FR-2014-02-07/pdf/2014-02696.pdf,,
11/29/2001,02/07/2014,A-908,A-823-811,A,93,ISM,Hot-rolled carbon steel flat products,Ukraine,,,79 FR 7425,2014/02/04,http://www.gpo.gov/fdsys/pkg/FR-2014-02-07/pdf/2014-02696.pdf,,
12/03/2001,02/07/2014,A-900,A-533-820,A,93,ISM,Hot-rolled carbon steel flat products,India,,,79 FR 7425,2014/02/04,http://www.gpo.gov/fdsys/pkg/FR-2014-02-07/pdf/2014-02696.pdf,,
12/03/2001,02/07/2014,A-901,A-560-812,A,93,ISM,Hot-rolled carbon steel flat products,Indonesia,,,79 FR 7425,2014/02/04,http://www.gpo.gov/fdsys/pkg/FR-2014-02-07/pdf/2014-02696.pdf,,
12/03/2001,02/07/2014,C-405,C-533-821,C,93,ISM,Hot-rolled carbon steel flat products,India,,,79 FR 7425,2014/02/04,http://www.gpo.gov/fdsys/pkg/FR-2014-02-07/pdf/2014-02696.pdf,,
12/03/2001,02/07/2014,C-406,C-560-813,C,93,ISM,Hot-rolled carbon steel flat products,Indonesia,,,79 FR 7425,2014/02/04,http://www.gpo.gov/fdsys/pkg/FR-2014-02-07/pdf/2014-02696.pdf,,
12/03/2001,02/07/2014,C-408,C-549-818,C,93,ISM,Hot-rolled carbon steel flat products,Thailand,,,79 FR 7425,2014/02/04,http://www.gpo.gov/fdsys/pkg/FR-2014-02-07/pdf/2014-02696.pdf,,
12/06/2001,10/29/2013,A-919,A-588-857,A,99,ISP,Welded large diameter line pipe,Japan,,,84 FR 54837,2019/10/11,https://www.govinfo.gov/content/pkg/FR-2019-10-11/pdf/2019-22339.pdf,,
12/10/2001,04/26/2018,A-893,A-570-863,A,100,AG,Honey,China,,,83 FR 18277,2018/04/26,https://www.gpo.gov/fdsys/pkg/FR-2018-04-26/pdf/2018-08776.pdf,,
01/08/2002,07/11/2018,A-921,A-570-866,A,101,AG,Folding gift boxes,China,,,83 FR 32073,2018/07/11,https://www.gpo.gov/fdsys/pkg/FR-2018-07-11/pdf/2018-14825.pdf,,
05/23/2002,06/12/2019,A-929,A-533-823,A,106,MM,Silicomanganese,India,,,84 FR 27243,2019/06/12,https://www.govinfo.gov/content/pkg/FR-2019-06-12/pdf/2019-12394.pdf,,
05/23/2002,06/12/2019,A-930,A-834-807,A,106,MM,Silicomanganese,Kazakhstan,,,84 FR 27243,2019/06/12,https://www.govinfo.gov/content/pkg/FR-2019-06-12/pdf/2019-12394.pdf,,
05/23/2002,06/12/2019,A-931,A-307-820,A,106,MM,Silicomanganese,Venezuela,,,84 FR 27243,2019/06/12,https://www.govinfo.gov/content/pkg/FR-2019-06-12/pdf/2019-12394.pdf,,
07/01/2002,08/06/2014,A-933,A-533-824,A,108,CH,Polyethylene terephthalate (PET) film,India,,,79 FR 45762,2014/08/06,http://www.gpo.gov/fdsys/pkg/FR-2014-08-06/pdf/2014-18599.pdf,,
07/01/2002,08/06/2014,A-934,A-583-837,A,108,CH,Polyethylene terephthalate (PET) film,Taiwan,,,79 FR 45762,2014/08/06,http://www.gpo.gov/fdsys/pkg/FR-2014-08-06/pdf/2014-18599.pdf,,
07/01/2002,08/06/2014,C-415,C-533-825,C,108,CH,Polyethylene terephthalate (PET) film,India,,,79 FR 45762,2014/08/06,http://www.gpo.gov/fdsys/pkg/FR-2014-08-06/pdf/2014-18599.pdf,,
10/22/2002,07/03/2014,C-417,C-351-833,C,110,ISM,Carbon steel wire rod,Brazil,,,85 FR 52953,2020/08/27,https://www.govinfo.gov/content/pkg/FR-2020-08-27/pdf/2020-18900.pdf,,
10/29/2002,07/03/2014,A-953,A-351-832,A,110,ISM,Carbon steel wire rod,Brazil,,,85 FR 52953,2020/08/27,https://www.govinfo.gov/content/pkg/FR-2020-08-27/pdf/2020-18900.pdf,,
10/29/2002,07/03/2014,A-957,A-560-815,A,110,ISM,Carbon steel wire rod,Indonesia,,,85 FR 52953,2020/08/27,https://www.govinfo.gov/content/pkg/FR-2020-08-27/pdf/2020-18900.pdf,,
10/29/2002,07/03/2014,A-958,A-201-830,A,110,ISM,Carbon steel wire rod,Mexico,,,85 FR 52953,2020/08/27,https://www.govinfo.gov/content/pkg/FR-2020-08-27/pdf/2020-18900.pdf,,
10/29/2002,07/03/2014,A-959,A-841-805,A,110,ISM,Carbon steel wire rod,Moldova,,,85 FR 52953,2020/08/27,https://www.govinfo.gov/content/pkg/FR-2020-08-27/pdf/2020-18900.pdf,,
10/29/2002,07/03/2014,A-961,A-274-804,A,110,ISM,Carbon steel wire rod,Trinidad & Tobago,,,85 FR 52953,2020/08/27,https://www.govinfo.gov/content/pkg/FR-2020-08-27/pdf/2020-18900.pdf,,
01/28/2003,02/18/2015,A-986,A-570-873,A,112,MM,Ferrovanadium ,China,,,80 FR 8607,2020/08/20,http://www.gpo.gov/fdsys/pkg/FR-2015-02-18/pdf/2015-03336.pdf4,,
01/28/2003,02/18/2015,A-987,A-791-815,A,112,MM,Ferrovanadium ,South Africa,,,80 FR 8607,2020/08/20,http://www.gpo.gov/fdsys/pkg/FR-2015-02-18/pdf/2015-03336.pdf4,,
03/26/2003,07/02/2014,A-991,A-821-817,A,113,CH,Silicon metal,Russia,,,85 FR 37831,2020/06/24,http://www.gpo.gov/fdsys/pkg/FR-2014-07-02/pdf/2014-15567.pdf,,
04/07/2003,07/09/2019,A-990,A-570-875,A,114,ISO,Non-malleable cast iron pipe fittings,China,,,84 FR 32722 ,2019/07/09,https://www.govinfo.gov/content/pkg/FR-2019-07-09/pdf/2019-14561.pdf,,
07/02/2003,05/27/2015,A-1016,A-588-861,A,116,CH,Polyvinyl alcohol,Japan,,,80 FR 30208,2015/05/27,http://www.gpo.gov/fdsys/pkg/FR-2015-05-27/pdf/2015-12788.pdf,,
08/12/2003,11/28/2014,A-1012,A-552-801,A,119,AG,Frozen fish fillets,Vietnam,,,79 FR 70853,2014/11/28,http://www.gpo.gov/fdsys/pkg/FR-2014-11-28/pdf/2014-28149.pdf,,
10/01/2003,05/27/2015,A-1014,A-570-879,A,116,CH,Polyvinyl alcohol,China,,,80 FR 30208,2015/05/27,http://www.gpo.gov/fdsys/pkg/FR-2015-05-27/pdf/2015-12788.pdf,,
10/01/2003,02/17/2015,A-1020,A-570-880,A,120,CH,Barium carbonate,China,,,80 FR 8286,2020/08/20,https://www.federalregister.gov/documents/2020/08/20/2020-18286/barium-carbonate-from-the-peoples-republic-of-china-continuation-of-antidumping-duty-order,,
11/19/2003,02/25/2020,A-1022,A-570-882,A,122,CH,Refined brown aluminum oxide,China,,,79 FR 61606,2020/03/06,https://www.govinfo.gov/content/pkg/FR-2020-03-06/pdf/2020-04624.pdf,,
12/12/2003,08/12/2014,A-1021,A-570-881,A,123,ISO,Malleable iron pipe fittings,China,,,84 FR 66375 ,2019/11/25,https://www.govinfo.gov/content/pkg/FR-2019-12-04/pdf/2019-26216.pdf,,
01/28/2004,04/23/2015,A-1024,A-351-837,A,125,ISO,Prestressed concrete steel wire strand,Brazil,,,80 FR 22708,2015/04/23,http://www.gpo.gov/fdsys/pkg/FR-2015-04-23/pdf/2015-09528.pdf,,
01/28/2004,04/23/2015,A-1025,A-533-828,A,125,ISO,Prestressed concrete steel wire strand,India,,,80 FR 22708,2015/04/23,http://www.gpo.gov/fdsys/pkg/FR-2015-04-23/pdf/2015-09528.pdf,,
